Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,비고
50447,Foreign Facebook love revives Cambodian PM 'click farm' row,"('Foreign Facebook love revives Cambodian PM 'click farm' row', 'the nation', '2016-08-09')","('Foreign Facebook love revives Cambodian PM 'click farm' row', 'the nation', '2016-08-09')",1-i->n-r,1-i,n-r,Scaled Abuse_Inauthentic Behavior,,Facebook,https://www.nationthailand.com/in-focus/30292518,좋아요 구매,,,,
52268,"Forgetting events is part of the way we create memories. It also explains the Facebook crisis, Putin and Trump.","('Forgetting events is part of the way we create memories. It also explains the Facebook crisis, Putin and Trump.', 'chicago tribune', '2018-04-06')","('Forgetting events is part of the way we create memories. It also explains the Facebook crisis, Putin and Trump.', 'chicago tribune', '2018-04-06')",1-i->n-i,1-i,n-i,Scaled Abuse_Spam,Protective Measures,Facebook ,https://www.chicagotribune.com/2018/04/06/forgetting-events-is-part-of-the-way-we-create-memories-it-also-explains-the-facebook-crisis-putin-and-trump/,정치당이 정치인들 이메일 해킹,언젠가 다시 읽어보기,,,
40290,How to Keep the Rising Tide of Fake News From Drowning Our Democracy,"('How to Keep the Rising Tide of Fake News From Drowning Our Democracy', 'new york times', '2022-03-07')","('How to Keep the Rising Tide of Fake News From Drowning Our Democracy', 'new york times', '2022-03-07')",n-r->n-r,n-r,n-r,Scaled Abuse_Inauthentic Behavior,Protective Measures,Social Media,https://www.nytimes.com/2022/03/07/opinion/cheap-speech-fake-news-democracy.html,disinformation label,,,,
42927,Howard cancels another day of online and hybrid classes as officials investigate alleged cyberattack,"('Howard cancels another day of online and hybrid classes as officials investigate alleged cyberattack', 'the washington post', '2021-09-08')","('Howard cancels another day of online and hybrid classes as officials investigate alleged cyberattack', 'the washington post', '2021-09-08')",n-r->n-r,n-r,n-r,Scaled Abuse_Malware,,Online,https://www.washingtonpost.com/education/2021/09/08/howard-university-ransomware-cyberattack/,,랜섬웨어 공격자 (불특정) → 하워드 대학 전체 학생 및 교직원,,랜섬웨어 사이버 공격,
52322,Israeli Intelligence Firm's Election-Meddling Analysis Comes Under Mueller's Scrutiny; Psy-Group presentation outlines ways Trump campaign was helped by fake social media accounts,"('Israeli Intelligence Firm's Election-Meddling Analysis Comes Under Mueller's Scrutiny; Psy-Group presentation outlines ways Trump campaign was helped by fake social media accounts', 'wall street journal', '2018-05-25')","('Israeli Intelligence Firm's Election-Meddling Analysis Comes Under Mueller's Scrutiny; Psy-Group presentation outlines ways Trump campaign was helped by fake social media accounts', 'wall street journal', '2018-05-25')",n-r->n-r,n-r,n-r,Scaled Abuse_Inauthentic Behavior,,Facebook,https://www.wsj.com/articles/israeli-intelligence-firms-election-meddling-analysis-comes-under-muellers-scrutiny-1527288767,페이스북 가짜봇,,,,
35776,Kasautii Zindagii Kay's Mohini Basu aka Shubhaavi Choksey's Instagram account gets hacked; Hina Khan warns her followers,"('Kasautii Zindagii Kay's Mohini Basu aka Shubhaavi Choksey's Instagram account gets hacked; Hina Khan warns her followers', 'the times of india', '2020-08-01')","('Kasautii Zindagii Kay's Mohini Basu aka Shubhaavi Choksey's Instagram account gets hacked; Hina Khan warns her followers', 'the times of india', '2020-08-01')",1-r->1-i,1-r,1-i,Scaled Abuse_Hacking,Protective Measures,Instagram,https://timesofindia.indiatimes.com/tv/news/hindi/kasautii-zindagii-kays-mohini-basu-aka-shubhaavi-chokseys-instagram-account-gets-hacked-hina-khan-warns-her-followers/articleshow/77280869.cms,,,,,
40403,Li Nanxing's Instagram account hacked by swindlers,"('Li Nanxing's Instagram account hacked by swindlers', 'the straits times', '2022-01-20')","('Li Nanxing's Instagram account hacked by swindlers', 'the straits times', '2022-01-20')",1-r->1-i,1-r,1-i,Scaled Abuse_Hacking,Fraud,Instagram,https://www.straitstimes.com/life/entertainment/li-nanxings-instagram-account-hacked-by-swindlers,,,,,
17251,"Anonymous hacks BJP websites, wants people to protest against 'web censorship'","('Likejacking': Spammers Hit Social Media, bloomberg businessweek, 2012-05-28)","('Likejacking': Spammers Hit Social Media, bloomberg businessweek, 2012-05-28)",n-r->n-r,n-r,n-r,Scaled Abuse_Spam,,Pinterest,https://www.bloomberg.com/news/articles/2012-05-24/likejacking-spammers-hit-social-media,,,,,
61006,Media: Tools of the trade: Anti-SMS-spam,"('Media: Tools of the trade: Anti-SMS-spam', 'the guardian', '2009-06-29')","('Media: Tools of the trade: Anti-SMS-spam', 'the guardian', '2009-06-29')",n-r->n-r,n-r,n-r,Scaled Abuse_Spam,,Message,https://www.theguardian.com/media/2009/jun/29/avoid-sms-spam-advice,,,,,
10916,Miscreants hack FB account of transgender board V-C,"('Miscreants hack FB account of transgender board V-C', 'the times of india', '2023-03-05')","('Miscreants hack FB account of transgender board V-C', 'the times of india', '2023-03-05')",n-r->1-i,n-r,1-i,Scaled Abuse_Hacking,Legal Action,Facebook,https://timesofindia.indiatimes.com/city/lucknow/miscreants-hack-fb-account-of-transgender-board-v-c/articleshow/98421039.cms,,,,,
