Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,비고
64545,One woman held as city cops bust website-based sex racket,"('One woman held as city cops bust website-based sex racket', 'the times of india', '2017-02-13')","('One woman held as city cops bust website-based sex racket', 'the times of india', '2017-02-13')",1-i->n-r,1-i,n-r,Regulated Goods & Services_Commercial Sexual Activity,Legal Action,Online,https://timesofindia.indiatimes.com/city/nagpur/one-woman-held-as-city-cops-bust-website-based-sex-racket/articleshow/57100379.cms,,,,,
58366,Police raid Bang Phlat property suspected of housing 818Kiss online gambling operation,"('Police raid Bang Phlat property suspected of housing 818Kiss online gambling operation', 'the nation', '2019-01-21')","('Police raid Bang Phlat property suspected of housing 818Kiss online gambling operation', 'the nation', '2019-01-21')",1-i->n-r,1-i,n-r,Regulated Goods & Services_Regulated Services,Legal Action,Online,https://www.nationthailand.com/in-focus/30362666,,,,,
64309,Prime accused in online sex racket arrested,"('Prime accused in online sex racket arrested', 'the times of india', '2017-02-05')","('Prime accused in online sex racket arrested', 'the times of india', '2017-02-05')",1-r->n-r,1-r,n-r,Regulated Goods & Services_Commercial Sexual Activity,Legal Action,Online,https://timesofindia.indiatimes.com/city/vadodara/prime-accused-in-online-sex-racket-arrested/articleshow/56981374.cms,,,,,
59514,"Weekend: What's not to like?: She would flirt harmlessly online and make other women jealous... When Stuart Heritage discovered he could buy a fake internet girlfriend, he waited for the catch Illustrations by Lo Cole","('Weekend: What's not to like?: She would flirt harmlessly online and make other women jealous... When Stuart Heritage discovered he could buy a fake internet girlfriend, he waited for the catch Illustrations by Lo Cole', 'the guardian', '2013-04-06')","('Weekend: What's not to like?: She would flirt harmlessly online and make other women jealous... When Stuart Heritage discovered he could buy a fake internet girlfriend, he waited for the catch Illustrations by Lo Cole', 'the guardian', '2013-04-06')",1-r->1-r,1-r,1-r,Regulated Goods & Services_Commercial Sexual Activity,,Facebook,https://www.theguardian.com/technology/2013/apr/05/fake-facebook-girlfriends,가짜 여친 구입,,,,
25005,"G2: The Monday interview: Peep show: While the mystery surrounding her identity generated controversy, her online diary of life as a London call-girl won 'Belle de Jour' the Guardian weblog award. Now the blog has become a book but Belle still prefers the anonymity of the web, conducting her first interview via internet messenger","(G2: The Monday interview: Peep show: While the mystery surrounding her identity generated controversy, her online diary of life as a London call-girl won 'Belle de Jour' the Guardian weblog award. Now the blog has become a book but Belle still prefers the anonymity of the web, conducting her first interview via internet messenger, the guardian, 2005-01-03)","(G2: The Monday interview: Peep show: While the mystery surrounding her identity generated controversy, her online diary of life as a London call-girl won 'Belle de Jour' the Guardian weblog award. Now the blog has become a book but Belle still prefers the anonymity of the web, conducting her first interview via internet messenger, the guardian, 2005-01-03)",1-i->n-r,1-i,n-r,Regulated Goods & Services_Commercial Sexual Activity,,Online,https://www.theguardian.com/technology/2005/jan/03/g2.onlinesupplement,,,,,
60871,George Cross 'sale' on internet,"('George Cross 'sale' on internet', 'the times of india', '2010-08-11')",George Cross 'sale' on internet,1-r->1-r,1-r,1-r,Regulated Goods & Services_Regulated Goods,,Online,https://timesofindia.indiatimes.com/city/chandigarh/george-cross-sale-on-internet/articleshow/6290174.cms,,,,,
6777,"Self-harm content on Instagram helped kill my girl, claims father","('Self-harm content on Instagram helped kill my girl, claims father', 'the daily telegraph', '2019-01-23')",Instagram posts on vaping investigated,1-i->n-r,1-i,n-r,Regulated Goods & Services_Regulated Goods,Regulatory Inquiry,Instagram,,child safety,Instagram posts that promote e-cigarettes to youth,,,
25370,"Poker's hold on teens, tweens; TV and the Web spur the trend, which has kids betting potato chips and push-ups. Some worry: Is it too soon?","('Poker's hold on teens, tweens; TV and the Web spur the trend, which has kids betting potato chips and push-ups. Some worry: Is it too soon?', 'los angeles times', '2004-09-30')","Poker's hold on teens, tweens; TV and the Web spur the trend, which has kids betting potato chips and push-ups. Some worry: Is it too soon?",n-r->n-r,n-r,n-r,Regulated Goods & Services_Regulated Services,,Internet poker website (poker in web),https://www.latimes.com/archives/la-xpm-2004-sep-30-hm-poker30-story.html,,,,,
66298,False rape claim behind latest religious clashes: Myanmar media,"('False rape claim behind latest religious clashes: Myanmar media', 'the nation', '2014-07-20')","Silk Road 2.0 Web site leads to arrest, charges (Posted 2014-11-07 04:06:07)",1-r->n-r,1-r,n-r,Regulated Goods & Services_Regulated Goods,Legal Action,Online,,,,,,
61494,Web Site Help Military Duty Dodgers,"('Web Site Help Military Duty Dodgers', 'the korea times', '2007-09-26')",Web Site Help Military Duty Dodgers,n-r->n-r,n-r,n-r,Regulated Goods & Services_Regulated Services,,Online,https://www.koreatimes.co.kr/southkorea/20070926/web-site-help-military-duty-dodgers,,,,,
