Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
59645,Planning to shop online? Beware of cyber frauds!,"('Planning to shop online? Beware of cyber frauds!', 'the times of india', '2013-07-14')","('Planning to shop online? Beware of cyber frauds!', 'the times of india', '2013-07-14')",1-i->1-r,1-i,1-r,Deceptive & Fraudulent Behavior_Fraud,Fraud,Online,https://timesofindia.indiatimes.com/city/chandigarh/planning-to-shop-online-beware-of-cyber-frauds/articleshow/21063423.cms
58297,Police alerts public to be vigilant when selling goods through online platforms,"('Police alerts public to be vigilant when selling goods through online platforms', 'the times of india', '2019-03-16')","('Police alerts public to be vigilant when selling goods through online platforms', 'the times of india', '2019-03-16')",1-r->n-r,1-r,n-r,Deceptive & Fraudulent Behavior_Fraud,"Fraud, Legal Action",Online,https://timesofindia.indiatimes.com/city/kozhikode/police-alerts-public-to-be-vigilant-when-selling-goods-through-online-platforms/articleshow/68424751.cms
64637,Police detain 203 for online lottery fraud in China,"('Police detain 203 for online lottery fraud in China', 'people's daily ', '2017-05-17')","('Police detain 203 for online lottery fraud in China', 'people's daily ', '2017-05-17')",1-r->1-r,1-r,1-r,Deceptive & Fraudulent Behavior_Fraud,Legal Action,"QQ, WeChat",https://www.chinadaily.com.cn/china/2017-05/17/content_29384252.htm
43985,Raid triggers conflicting stories,"('Raid triggers conflicting stories', 'the times of india', '2017-05-25')","('Raid triggers conflicting stories', 'the times of india', '2017-05-25')",n-r->1-r,n-r,1-r,Deceptive & Fraudulent Behavior_Defamation,,Online,https://timesofindia.indiatimes.com/city/kochi/raid-triggers-conflicting-stories/articleshow/58830374.cms
57267,Railway official cheated of rRs.r1 lakh in online fraud,"('Railway official cheated of rRs.r1 lakh in online fraud', 'the hindustan times', '2022-10-04')","('Railway official cheated of rRs.r1 lakh in online fraud', 'the hindustan times', '2022-10-04')",1-r->1-r,1-r,1-r,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Online,https://www.hindustantimes.com/cities/lucknow-news/railway-official-cheated-of-rs-1-lakh-in-online-fraud-101664824425191.html
8889,Rakhi Sawant's ex-husband Ritesh denies hacking her social media accounts: 'I'll file defamation case against her',"('Rakhi Sawant's ex-husband Ritesh denies hacking her social media accounts: 'I'll file defamation case against her'', 'the hindustan times', '2022-06-13')","('Rakhi Sawant's ex-husband Ritesh denies hacking her social media accounts: 'I'll file defamation case against her'', 'the hindustan times', '2022-06-13')",1-i->1-i,1-i,1-i,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Social Media,https://www.hindustantimes.com/entertainment/bollywood/rakhi-sawant-s-ex-husband-ritesh-denies-hacking-her-social-media-accounts-to-sue-her-for-defamation-101655124563229.html
65645,S.E.C. claims investment adviser puffed up his background on the web,"('S.E.C. claims investment adviser puffed up his background on the web', 'international new york times', '2016-03-10')","('S.E.C. claims investment adviser puffed up his background on the web', 'international new york times', '2016-03-10')",1-r->n-r,1-r,n-r,Deceptive & Fraudulent Behavior_Fraud,Legal Action ,Online,https://www.nytimes.com/2016/03/09/business/dealbook/sec-fraud-case-says-adviser-puffed-up-his-background-online.html
28235,Shark Tank India's Aman Gupta warns against fake boAt websites: 'Beware.',"('Shark Tank India's Aman Gupta warns against fake boAt websites: 'Beware.'', 'the hindustan times', '2023-02-21')","('Shark Tank India's Aman Gupta warns against fake boAt websites: 'Beware.'', 'the hindustan times', '2023-02-21')",1-i->n-r,1-i,n-r,Deceptive & Fraudulent Behavior_Fraud,Fraud,boAt,https://www.hindustantimes.com/technology/shark-tank-india-s-aman-gupta-warns-against-fake-boat-websites-beware-101676950099808.html
22266,Should Online Scofflaws Be Denied Web Access?,"('Should Online Scofflaws Be Denied Web Access?', 'new york times', '2009-04-12')","('Should Online Scofflaws Be Denied Web Access?', 'new york times', '2009-04-12')",n-r->1-i,n-r,1-i,Deceptive & Fraudulent Behavior_Intellectual Property,Legal Action,Online,https://www.nytimes.com/2009/04/13/technology/internet/13iht-piracy13.html
10554,SP workers protest as Lucknow police arrest party's Twitter account handler,"('SP workers protest as Lucknow police arrest party's Twitter account handler', 'the times of india', '2023-01-09')","('SP workers protest as Lucknow police arrest party's Twitter account handler', 'the times of india', '2023-01-09')",1-i->n-i,1-i,n-i,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Twitter,https://timesofindia.indiatimes.com/city/lucknow/sp-workers-protest-as-lucknow-police-arrest-partys-twitter-account-handler/articleshow/96829633.cms
